epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
68,597.721,1.55754,0.45581,2.50489,0.54966,0.09625,0.02399,0.00579,1.51108,0.45476,1.04635,0.000176265,0.000176265,0.000176265
69,1199.43,0.7594,0.94675,0.45639,0.25487,0.18357,0.12169,0.04042,1.21222,0.50565,1.09789,0.000173193,0.000173193,0.000173193
70,1802.1,0.67417,0.97337,0.3959,0.3467,0.32208,0.20402,0.08215,1.02035,0.57967,1.32704,0.000170112,0.000170112,0.000170112
71,2404.99,0.69998,0.96012,0.41494,0.15635,0.39362,0.14556,0.07846,0.50242,1.04632,0.38145,0.000167022,0.000167022,0.000167022
72,3009.62,0.52931,1.08103,0.30221,0.15623,0.44212,0.15108,0.08482,0.43913,1.20429,0.27306,0.000163926,0.000163926,0.000163926
73,3614.3,0.52837,0.97955,0.30984,0.2082,0.45401,0.20618,0.12094,0.43738,1.19553,0.27829,0.000160824,0.000160824,0.000160824
74,4219.39,0.58065,0.77513,0.3511,0.39819,0.54245,0.45547,0.26721,0.45336,1.01533,0.30378,0.000157719,0.000157719,0.000157719
75,4824.28,0.55409,0.66279,0.34627,0.59571,0.72265,0.65309,0.36703,0.47775,0.77967,0.32723,0.00015461,0.00015461,0.00015461
76,5428.79,0.54398,0.63072,0.34578,0.70984,0.75788,0.73417,0.40708,0.48195,0.68499,0.34348,0.0001515,0.0001515,0.0001515
77,6033.46,0.54477,0.62027,0.33864,0.74302,0.76597,0.74189,0.413,0.48109,0.66186,0.34446,0.00014839,0.00014839,0.00014839
78,6639,0.53859,0.62631,0.33686,0.78203,0.7647,0.75371,0.42067,0.4781,0.65626,0.34905,0.000145281,0.000145281,0.000145281
79,7245.29,0.5246,0.60973,0.33092,0.77712,0.75854,0.75195,0.42118,0.47955,0.64854,0.34747,0.000142176,0.000142176,0.000142176
80,7851.12,0.52309,0.6133,0.32883,0.78386,0.76768,0.7711,0.43509,0.47259,0.64267,0.342,0.000139074,0.000139074,0.000139074
81,8456.31,0.51548,0.61743,0.32515,0.81049,0.76721,0.76252,0.43302,0.46891,0.64209,0.33638,0.000135978,0.000135978,0.000135978
82,9061.52,0.49968,0.61165,0.31688,0.81916,0.76593,0.78395,0.44869,0.46632,0.64899,0.33903,0.000132888,0.000132888,0.000132888
83,9666.56,0.49943,0.59893,0.3166,0.79991,0.76962,0.76511,0.43595,0.46788,0.64503,0.33928,0.000129807,0.000129807,0.000129807
84,10272.6,0.51688,0.59832,0.32439,0.81943,0.77464,0.77841,0.44351,0.46611,0.63062,0.33962,0.000126735,0.000126735,0.000126735
85,10878.8,0.53633,0.59893,0.32762,0.83452,0.77767,0.78322,0.44305,0.46694,0.59735,0.34362,0.000123674,0.000123674,0.000123674
86,11487.3,0.50809,0.59383,0.31534,0.82845,0.78542,0.79047,0.44884,0.46483,0.60361,0.34283,0.000120625,0.000120625,0.000120625
